fold_name,Dataset,Sub,Which,OnsetFrame,Apex,OffsetFrame,Emo
casme2__sub13,casme2,sub13,EP09_10,51,76,126,1
casme2__sub14,casme2,sub14,EP09_03,6,29,41,1
casme2__sub14,casme2,sub14,EP09_04,21,71,106,1
casme2__sub14,casme2,sub14,EP09_06,11,59,91,1
casme2__sub15,casme2,sub15,EP03_02,16,49,76,1
casme2__sub15,casme2,sub15,EP04_02,21,46,111,2
casme2__sub15,casme2,sub15,EP08_02,21,54,78,0
casme2__sub16,casme2,sub16,EP01_05,66,106,156,1
casme2__sub16,casme2,sub16,EP01_08,73,94,96,0
casme2__sub16,casme2,sub16,EP04_02f,181,269,271,1
casme2__sub17,casme2,sub17,EP01_06,81,86,121,1
casme2__sub17,casme2,sub17,EP01_13,76,134,166,2
casme2__sub17,casme2,sub17,EP01_15,86,101,126,1
casme2__sub17,casme2,sub17,EP02_01,91,119,136,0
casme2__sub17,casme2,sub17,EP02_03,81,109,131,0
casme2__sub17,casme2,sub17,EP02_11,161,181,210,0
casme2__sub17,casme2,sub17,EP02_18f,91,134,181,0
casme2__sub17,casme2,sub17,EP03_02,118,139,161,0
casme2__sub17,casme2,sub17,EP03_09,96,132,161,1
casme2__sub17,casme2,sub17,EP05_02,25,91,121,1
casme2__sub17,casme2,sub17,EP05_03,21,56,101,1
casme2__sub17,casme2,sub17,EP05_03f,11,59,76,0
casme2__sub17,casme2,sub17,EP05_04,6,39,71,0
casme2__sub17,casme2,sub17,EP05_09,121,144,196,0
casme2__sub17,casme2,sub17,EP05_10,111,129,151,0
casme2__sub17,casme2,sub17,EP06_04,71,91,161,0
casme2__sub17,casme2,sub17,EP06_07,216,225,246,1
casme2__sub17,casme2,sub17,EP06_08,156,194,231,0
casme2__sub17,casme2,sub17,EP07_01,21,71,115,0
casme2__sub17,casme2,sub17,EP08_02,21,66,88,0
casme2__sub17,casme2,sub17,EP10_06,104,121,161,0
casme2__sub17,casme2,sub17,EP11_01,9,31,53,0
casme2__sub17,casme2,sub17,EP11_02,36,81,121,0
casme2__sub17,casme2,sub17,EP12_03,131,156,184,0
casme2__sub17,casme2,sub17,EP13_03,51,79,136,0
casme2__sub17,casme2,sub17,EP13_04,86,104,121,0
casme2__sub17,casme2,sub17,EP13_06,86,109,131,0
casme2__sub17,casme2,sub17,EP13_09,6,46,101,1
casme2__sub17,casme2,sub17,EP15_04,109,131,185,0
casme2__sub17,casme2,sub17,EP16_01f,8,29,71,0
casme2__sub17,casme2,sub17,EP18_07,36,69,103,0
casme2__sub19,casme2,sub19,EP01_01f,121,189,220,1
casme2__sub19,casme2,sub19,EP01_02f,36,61,127,1
casme2__sub19,casme2,sub19,EP02_01,91,119,151,2
casme2__sub19,casme2,sub19,EP06_01f,146,174,201,2
casme2__sub19,casme2,sub19,EP08_02,76,119,155,1
casme2__sub19,casme2,sub19,EP11_04f,76,96,131,2
casme2__sub19,casme2,sub19,EP13_01,71,104,156,0
casme2__sub19,casme2,sub19,EP16_01,86,109,136,0
casme2__sub19,casme2,sub19,EP16_02,61,79,101,0
casme2__sub19,casme2,sub19,EP19_02,106,129,151,2
casme2__sub19,casme2,sub19,EP19_03,61,91,116,2
casme2__sub20,casme2,sub20,EP01_03,76,101,126,0
casme2__sub20,casme2,sub20,EP06_03,31,49,61,0
casme2__sub21,casme2,sub21,EP05_02,111,141,206,0
casme2__sub22,casme2,sub22,EP01_12,50,119,146,0
casme2__sub22,casme2,sub22,EP13_08,151,216,256,0
casme2__sub23,casme2,sub23,EP02_01,36,86,130,1
casme2__sub23,casme2,sub23,EP03_14f,51,91,111,0
casme2__sub23,casme2,sub23,EP04_03f,16,91,115,0
casme2__sub23,casme2,sub23,EP05_24f,106,141,171,0
casme2__sub23,casme2,sub23,EP05_25f,51,86,131,0
casme2__sub23,casme2,sub23,EP12_02f,46,84,130,0
casme2__sub23,casme2,sub23,EP12_03,86,129,161,0
casme2__sub23,casme2,sub23,EP13_04,21,41,86,0
casme2__sub24,casme2,sub24,EP01_08,33,69,131,0
casme2__sub24,casme2,sub24,EP02_02f,71,94,106,0
casme2__sub24,casme2,sub24,EP18_03,53,76,88,2
casme2__sub25,casme2,sub25,EP09_02,76,101,111,0
casme2__sub25,casme2,sub25,EP10_01,101,129,176,0
casme2__sub25,casme2,sub25,EP10_10,61,91,158,2
casme2__sub25,casme2,sub25,EP12_01,131,151,186,2
casme2__sub25,casme2,sub25,EP18_04f,76,116,116,0
casme2__sub26,casme2,sub26,EP03_10,116,149,201,1
casme2__sub26,casme2,sub26,EP09_04,31,56,91,0
casme2__sub26,casme2,sub26,EP09_09,46,76,101,0
casme2__sub26,casme2,sub26,EP13_02,32,54,116,1
casme2__sub26,casme2,sub26,EP13_11,20,59,101,0
casme2__sub26,casme2,sub26,EP16_01,26,54,76,0
casme2__sub26,casme2,sub26,EP18_44,11,36,71,0
casme2__sub26,casme2,sub26,EP18_47,6,49,86,0
casme2__sub26,casme2,sub26,EP18_49,16,54,80,0
casme2__sub26,casme2,sub26,EP18_50,78,99,161,0
casme2__sub26,casme2,sub26,EP18_51,21,64,81,0
smic__s1,smic,s1,s1_ne_01,559740,559757,559775,0
smic__s1,smic,s1,s1_ne_02,563854,563869,563885,0
smic__s1,smic,s1,s1_ne_03,658536,658549,658562,0
smic__s1,smic,s1,s1_po_01,701843,701854,701865,1
smic__s1,smic,s1,s1_po_02,702609,702623,702638,1
smic__s1,smic,s1,s1_sur_01,549990,550006,550022,2
smic__s2,smic,s2,s2_po_01,76518,076532,76546,1
smic__s2,smic,s2,s2_sur_01,90868,090881,90894,2
smic__s2,smic,s2,s2_sur_02,106180,106197,106214,2
smic__s2,smic,s2,s2_sur_03,112010,112030,112050,2
smic__s2,smic,s2,s2_sur_04,131313,131330,131347,2
smic__s2,smic,s2,s2_sur_05,219114,219128,219143,2
smic__s3,smic,s3,s3_ne_01,257900,257912,257925,0
smic__s3,smic,s3,s3_ne_02,302330,302343,302356,0
smic__s3,smic,s3,s3_ne_03,302370,302375,302380,0
smic__s3,smic,s3,s3_ne_04,303090,303100,303110,0
smic__s3,smic,s3,s3_ne_05,304365,304377,304390,0
smic__s3,smic,s3,s3_ne_06,304979,304999,305020,0
smic__s3,smic,s3,s3_ne_07,307920,307935,307950,0
smic__s3,smic,s3,s3_ne_08,325380,325400,325420,0
smic__s3,smic,s3,s3_ne_09,357430,357440,357450,0
smic__s3,smic,s3,s3_ne_10,358085,358100,358115,0
smic__s3,smic,s3,s3_ne_11,362132,362144,362157,0
smic__s3,smic,s3,s3_ne_12,365106,365117,365128,0
smic__s3,smic,s3,s3_ne_13,388781,388796,388811,0
smic__s3,smic,s3,s3_ne_14,401504,401518,401533,0
smic__s3,smic,s3,s3_ne_15,406314,406331,406348,0
smic__s3,smic,s3,s3_ne_16,409046,409054,409063,0
smic__s3,smic,s3,s3_ne_17,425101,425117,425134,0
smic__s3,smic,s3,s3_ne_18,425330,425349,425369,0
smic__s3,smic,s3,s3_ne_19,425879,425898,425918,0
smic__s3,smic,s3,s3_ne_20,426679,426694,426709,0
smic__s3,smic,s3,s3_ne_21,427607,427616,427626,0
smic__s3,smic,s3,s3_ne_22,443812,443823,443834,0
smic__s3,smic,s3,s3_po_01,272800,272812,272825,1
smic__s3,smic,s3,s3_po_02,291386,291402,291419,1
smic__s3,smic,s3,s3_po_03,293422,293431,293440,1
smic__s3,smic,s3,s3_po_04,294795,294807,294820,1
smic__s3,smic,s3,s3_po_05,304630,304645,304660,1
smic__s3,smic,s3,s3_po_06,379734,379746,379759,1
smic__s3,smic,s3,s3_po_07,387920,387939,387958,1
smic__s3,smic,s3,s3_po_08,402194,402209,402225,1
smic__s3,smic,s3,s3_po_09,402936,402954,402973,1
smic__s3,smic,s3,s3_po_10,442880,442891,442902,1
smic__s3,smic,s3,s3_po_11,443304,443311,443319,1
smic__s3,smic,s3,s3_sur_01,308860,308875,308890,2
smic__s3,smic,s3,s3_sur_02,397654,397663,397673,2
smic__s3,smic,s3,s3_sur_03,399885,399895,399905,2
smic__s3,smic,s3,s3_sur_04,401806,401825,401845,2
smic__s3,smic,s3,s3_sur_05,402300,402313,402327,2
smic__s3,smic,s3,s3_sur_06,403395,403405,403415,2
smic__s4,smic,s4,s4_ne_01,104317,104332,104347,0
smic__s4,smic,s4,s4_ne_02,147350,147361,147373,0
smic__s4,smic,s4,s4_ne_03,148798,148809,148821,0
smic__s4,smic,s4,s4_ne_04,219199,219214,219230,0
smic__s4,smic,s4,s4_ne_05,219343,219352,219361,0
smic__s4,smic,s4,s4_ne_06,219413,219424,219435,0
smic__s4,smic,s4,s4_ne_07,229561,229574,229587,0
smic__s4,smic,s4,s4_ne_08,230055,230067,230079,0
smic__s4,smic,s4,s4_ne_09,232225,232239,232253,0
smic__s4,smic,s4,s4_ne_10,244824,244840,244857,0
smic__s4,smic,s4,s4_po_01,36219,036234,36250,1
smic__s4,smic,s4,s4_po_02,82525,082534,82544,1
smic__s4,smic,s4,s4_po_03,166242,166259,166277,1
smic__s4,smic,s4,s4_po_04,191963,191977,191991,1
smic__s4,smic,s4,s4_sur_01,62922,062943,62965,2
smic__s4,smic,s4,s4_sur_02,69757,069773,69789,2
smic__s4,smic,s4,s4_sur_03,85893,085904,85916,2
smic__s4,smic,s4,s4_sur_04,89333,089342,89352,2
smic__s4,smic,s4,s4_sur_05,196085,196097,196109,2
smic__s5,smic,s5,s5_ne_01,1038175,1038189,1038204,0
smic__s5,smic,s5,s5_sur_01,888353,888374,888395,2
smic__s6,smic,s6,s6_ne_01,397681,397700,397720,0
smic__s6,smic,s6,s6_ne_02,431016,431033,431050,0
smic__s6,smic,s6,s6_sur_01,377459,377471,377483,2
smic__s6,smic,s6,s6_sur_02,465510,465530,465550,2
smic__s8,smic,s8,s8_ne_01,252626,252645,252665,0
smic__s8,smic,s8,s8_ne_02,253559,253572,253586,0
smic__s8,smic,s8,s8_ne_03,253737,253750,253764,0
smic__s8,smic,s8,s8_ne_04,268321,268339,268357,0
smic__s8,smic,s8,s8_ne_05,392225,392245,392265,0
smic__s8,smic,s8,s8_ne_06,389675,389698,389722,0
smic__s8,smic,s8,s8_ne_07,394020,394031,394042,0
smic__s8,smic,s8,s8_ne_08,399100,399113,399127,0
smic__s8,smic,s8,s8_ne_09,416956,416975,416995,0
smic__s8,smic,s8,s8_po_01,305253,305271,305289,1
smic__s8,smic,s8,s8_po_02,332684,332697,332711,1
smic__s8,smic,s8,s8_po_03,405004,405019,405035,1
smic__s8,smic,s8,s8_po_04,406204,406224,406244,1
smic__s9,smic,s9,s9_po_01,72643,072663,72684,1
smic__s9,smic,s9,s9_sur_01,61206,061219,61232,2
smic__s9,smic,s9,s9_sur_02,61250,061270,61291,2
smic__s9,smic,s9,s9_sur_03,91099,091118,91137,2
smic__s11,smic,s11,s11_ne_01,425358,425368,425378,0
smic__s11,smic,s11,s11_ne_02,514569,514584,514599,0
smic__s11,smic,s11,s11_ne_03,559504,559524,559544,0
smic__s11,smic,s11,s11_po_01,472873,472897,472921,1
smic__s11,smic,s11,s11_po_02,609978,610001,610025,1
smic__s11,smic,s11,s11_po_03,622777,622798,622820,1
smic__s11,smic,s11,s11_sur_01,653392,653407,653423,2
smic__s12,smic,s12,s12_po_01,8463663,8463687,8463712,1
smic__s12,smic,s12,s12_po_02,8468220,8468232,8468245,1
smic__s12,smic,s12,s12_po_03,8473248,8473271,8473294,1
smic__s12,smic,s12,s12_po_04,8556703,8556716,8556730,1
smic__s12,smic,s12,s12_po_05,8557042,8557057,8557072,1
smic__s12,smic,s12,s12_po_06,8559942,8559961,8559981,1
smic__s12,smic,s12,s12_po_07,8596344,8596368,8596393,1
smic__s12,smic,s12,s12_po_08,8641010,8641030,8641050,1
smic__s12,smic,s12,s12_sur_01,8394314,8394332,8394351,2
smic__s13,smic,s13,s13_po_01,90884,090906,90929,1
smic__s13,smic,s13,s13_po_02,92721,092737,92753,1
smic__s13,smic,s13,s13_po_03,93081,093099,93117,1
smic__s13,smic,s13,s13_po_04,93850,093874,93899,1
smic__s13,smic,s13,s13_po_05,94312,094335,94358,1
smic__s13,smic,s13,s13_po_06,103371,103391,103412,1
smic__s13,smic,s13,s13_po_07,109647,109662,109677,1
smic__s13,smic,s13,s13_po_08,110314,110331,110349,1
smic__s13,smic,s13,s13_po_09,141444,141464,141484,1
smic__s13,smic,s13,s13_po_10,143012,143034,143057,1
smic__s14,smic,s14,s14_ne_01,34208,034233,34258,0
smic__s14,smic,s14,s14_ne_02,37634,037652,37671,0
smic__s14,smic,s14,s14_ne_03,199541,199569,199598,0
smic__s14,smic,s14,s14_po_01,212541,212565,212590,1
smic__s14,smic,s14,s14_po_02,285183,285207,285231,1
smic__s14,smic,s14,s14_sur_01,81902,081920,81939,2
smic__s14,smic,s14,s14_sur_02,86607,086624,86642,2
smic__s14,smic,s14,s14_sur_03,106337,106356,106375,2
smic__s14,smic,s14,s14_sur_04,233391,233413,233435,2
smic__s14,smic,s14,s14_sur_05,278976,278996,279016,2
smic__s15,smic,s15,s15_ne_01,729591,729615,729640,0
smic__s15,smic,s15,s15_po_01,923822,923846,923870,1
smic__s15,smic,s15,s15_sur_01,835624,835640,835656,2
smic__s15,smic,s15,s15_sur_02,925646,925666,925686,2
smic__s18,smic,s18,s18_ne_01,1644341,1644360,1644379,0
smic__s18,smic,s18,s18_ne_02,1760613,1760635,1760658,0
smic__s18,smic,s18,s18_sur_01,1642685,1642703,1642721,2
smic__s18,smic,s18,s18_sur_02,1692902,1692917,1692933,2
smic__s18,smic,s18,s18_sur_03,1695782,1695795,1695809,2
smic__s18,smic,s18,s18_sur_04,1712971,1712988,1713006,2
smic__s18,smic,s18,s18_sur_05,1859405,1859424,1859444,2
smic__s19,smic,s19,s19_po_01,32615570,32615587,32615604,1
smic__s19,smic,s19,s19_sur_01,32483855,32483879,32483904,2
smic__s20,smic,s20,s20_ne_01,17581039,17581047,17581055,0
smic__s20,smic,s20,s20_ne_02,17581713,17581728,17581744,0
smic__s20,smic,s20,s20_ne_03,17625391,17625407,17625424,0
smic__s20,smic,s20,s20_ne_04,17651135,17651146,17651157,0
smic__s20,smic,s20,s20_ne_05,17664393,17664408,17664423,0
smic__s20,smic,s20,s20_ne_06,17668815,17668825,17668835,0
smic__s20,smic,s20,s20_ne_07,17668953,17668961,17668969,0
smic__s20,smic,s20,s20_ne_08,17670640,17670662,17670684,0
smic__s20,smic,s20,s20_ne_09,17678517,17678534,17678552,0
smic__s20,smic,s20,s20_ne_10,17707991,17708000,17708009,0
smic__s20,smic,s20,s20_ne_11,17841447,17841462,17841478,0
smic__s20,smic,s20,s20_ne_12,17832772,17832790,17832809,0
smic__s20,smic,s20,s20_ne_13,17835887,17835905,17835924,0
smic__s20,smic,s20,s20_ne_14,17837691,17837715,17837740,0
smic__s20,smic,s20,s20_po_01,17598752,17598775,17598798,1
smic__s20,smic,s20,s20_po_02,17646868,17646889,17646910,1
smic__s20,smic,s20,s20_po_03,17748546,17748558,17748570,1
smic__s20,smic,s20,s20_sur_01,17597115,17597133,17597152,2
smic__s20,smic,s20,s20_sur_02,17692849,17692859,17692870,2
smic__s20,smic,s20,s20_sur_03,17761454,17761478,17761502,2
smic__s20,smic,s20,s20_sur_04,17763111,17763131,17763151,2
smic__s20,smic,s20,s20_sur_05,17771577,17771588,17771600,2
samm__6,samm,6,006_1_2,5562,5588,5632,0
samm__6,samm,6,006_1_3,3912,3948,3988,0
samm__6,samm,6,006_1_4,2324,2368,2403,0
samm__6,samm,6,006_1_5,5343,5388,5424,0
samm__6,samm,6,006_1_6,7160,7197,7259,0
samm__6,samm,6,006_2_4,180,217,274,0
samm__6,samm,6,006_3_4,639,668,702,0
samm__6,samm,6,006_3_5,1787,1829,1856,2
samm__6,samm,6,006_5_10,1436,1465,1514,0
samm__6,samm,6,006_5_11,2130,2190,2226,0
samm__6,samm,6,006_5_9,5258,5282,5351,2
samm__7,samm,7,007_3_1,2046,2062,2091,0
samm__7,samm,7,007_5_3,2759,2797,2835,2
samm__7,samm,7,007_6_1,497,511,541,1
samm__7,samm,7,007_6_2,1296,1326,1377,1
samm__7,samm,7,007_6_3,2560,2592,2617,1
samm__7,samm,7,007_6_5,649,673,723,1
samm__7,samm,7,007_7_1,7030,7056,7070,2
samm__7,samm,7,007_7_5,554,585,637,1
samm__9,samm,9,009_2_1,3577,3602,3641,0
samm__9,samm,9,009_3_2,1856,1891,1932,0
samm__9,samm,9,009_3_3,1968,2010,2045,0
samm__9,samm,9,009_3_4,3334,3370,3419,2
samm__10,samm,10,010_2_1,192,206,228,0
samm__10,samm,10,010_2_8,1211,1239,1288,0
samm__10,samm,10,010_4_1,3528,3548,3557,0
samm__10,samm,10,010_4_2,6708,6730,6738,0
samm__11,samm,11,011_1_4,3080,3131,3168,0
samm__11,samm,11,011_2_1,2029,2050,2068,0
samm__11,samm,11,011_2_2,2069,2114,2125,0
samm__11,samm,11,011_2_3,3885,3921,3974,0
samm__11,samm,11,011_2_7,3361,3402,3449,1
samm__11,samm,11,011_3_1,2363,2395,2411,0
samm__11,samm,11,011_3_4,2841,2891,2920,1
samm__11,samm,11,011_3_5,2944,3007,3031,1
samm__11,samm,11,011_3_6,3208,3253,3308,1
samm__11,samm,11,011_4_1,6750,6771,6803,0
samm__11,samm,11,011_4_12,4158,4194,4254,0
samm__11,samm,11,011_4_13,2755,2791,2853,0
samm__11,samm,11,011_4_2,2980,3014,3037,0
samm__11,samm,11,011_5_1,1048,1071,1088,0
samm__11,samm,11,011_6_1,4422,4463,4486,0
samm__11,samm,11,011_6_13,4523,4585,4619,1
samm__11,samm,11,011_6_5,2504,2571,2602,1
samm__11,samm,11,011_6_6,2607,2649,2680,1
samm__11,samm,11,011_7_1,1220,1236,1269,0
samm__11,samm,11,011_7_10,3599,3630,3680,0
samm__12,samm,12,012_3_1,4621,4651,4676,0
samm__12,samm,12,012_3_2,4697,4735,4796,0
samm__12,samm,12,012_7_1,7871,7889,7923,2
samm__13,samm,13,013_1_10,3802,3824,3890,0
samm__13,samm,13,013_1_11,4490,4544,4582,0
samm__13,samm,13,013_1_12,706,739,802,0
samm__13,samm,13,013_1_8,841,867,919,0
samm__13,samm,13,013_1_9,5658,5680,5739,0
samm__13,samm,13,013_7_7,2077,2135,2167,0
samm__14,samm,14,014_1_1,2856,2881,2897,0
samm__14,samm,14,014_2_3,4616,4645,4705,2
samm__14,samm,14,014_2_4,3874,3925,3968,1
samm__14,samm,14,014_3_3,2635,2646,2714,1
samm__14,samm,14,014_3_4,1426,1457,1523,1
samm__14,samm,14,014_5_2,469,498,557,0
samm__14,samm,14,014_6_1,1316,1334,1350,1
samm__14,samm,14,014_6_2,1190,1221,1253,1
samm__14,samm,14,014_6_3,128,171,196,1
samm__14,samm,14,014_7_1,3529,3560,3598,1
samm__15,samm,15,015_5_1,6380,6406,6442,0
samm__15,samm,15,015_5_2,6587,6615,6659,0
samm__15,samm,15,015_5_3,6050,6073,6127,2
samm__16,samm,16,016_7_1,2275,2299,2323,0
samm__16,samm,16,016_7_2,3840,3854,3892,2
samm__16,samm,16,016_7_3,4395,4421,4447,0
samm__16,samm,16,016_7_5,6120,6155,6207,2
samm__16,samm,16,016_7_8,12256,12324,12349,1
samm__17,samm,17,017_3_1,312,337,387,0
samm__17,samm,17,017_3_2,83,116,165,2
samm__17,samm,17,017_3_4,174,199,264,0
samm__17,samm,17,017_6_1,1107,1143,1178,0
samm__18,samm,18,018_3_1,1405,1456,1500,0
samm__18,samm,18,018_5_1,6991,7026,7060,0
samm__18,samm,18,018_7_1,10133,10156,10175,2
samm__19,samm,19,019_4_1,4496,4517,4550,1
samm__20,samm,20,020_4_1,3440,3469,3497,0
samm__20,samm,20,020_4_2,1482,1516,1528,1
samm__20,samm,20,020_7_1,8518,8551,8577,0
samm__20,samm,20,020_7_10,9071,9140,9165,1
samm__21,samm,21,021_7_1,5589,5621,5646,0
samm__21,samm,21,021_7_2,2853,2882,2942,0
samm__22,samm,22,022_2_3,402,438,501,0
samm__22,samm,22,022_3_2,380,421,428,0
samm__22,samm,22,022_3_3,3659,3683,3697,1
samm__22,samm,22,022_4_1,492,505,569,0
samm__22,samm,22,022_5_1,335,357,405,1
samm__23,samm,23,023_1_1,5024,5037,5074,0
samm__24,samm,24,024_2_1,3763,3779,3835,0
samm__26,samm,26,026_1_1,295,323,370,0
samm__26,samm,26,026_2_1,2881,2918,2947,0
samm__26,samm,26,026_2_2,2952,2978,3028,0
samm__26,samm,26,026_2_3,2607,2642,2685,0
samm__26,samm,26,026_3_3,1704,1736,1737,0
samm__26,samm,26,026_3_4,3582,3608,3640,0
samm__26,samm,26,026_5_1,5073,5089,5146,0
samm__26,samm,26,026_6_1,3848,3882,3941,0
samm__26,samm,26,026_7_3,2750,2783,2844,0
samm__28,samm,28,028_4_1,1071,1134,1134,0
samm__28,samm,28,028_4_3,370,424,441,2
samm__28,samm,28,028_4_4,1288,1367,1376,2
samm__30,samm,30,030_1_1,2379,2422,2460,0
samm__30,samm,30,030_1_2,6344,6392,6434,0
samm__30,samm,30,030_5_1,1921,1960,2001,0
samm__31,samm,31,031_3_1,3831,3852,3886,0
samm__32,samm,32,032_3_1,4896,4930,4970,0
samm__32,samm,32,032_3_2,5126,5127,5207,0
samm__32,samm,32,032_4_2,408,436,479,0
samm__32,samm,32,032_6_1,4307,4325,4366,0
samm__33,samm,33,033_1_3,5957,5988,6009,1
samm__33,samm,33,033_1_4,6541,6573,6609,0
samm__33,samm,33,033_1_5,6889,6926,6973,0
samm__33,samm,33,033_2_1,695,749,776,0
samm__33,samm,33,033_2_2,2117,2149,2215,0
samm__34,samm,34,034_3_1,3129,3159,3217,0
samm__34,samm,34,034_7_2,1578,1612,1655,0
samm__34,samm,34,034_7_3,3636,3672,3719,0
samm__35,samm,35,035_1_1,9649,9667,9691,0
samm__35,samm,35,035_4_1,231,245,263,0
samm__35,samm,35,035_4_2,1509,1534,1574,0
samm__35,samm,35,035_5_2,2409,2443,2473,0
samm__35,samm,35,035_5_3,253,293,341,0
samm__35,samm,35,035_6_3,180,210,236,0
samm__35,samm,35,035_7_1,7809,7819,7853,2
samm__35,samm,35,035_7_2,823,855,918,0
samm__36,samm,36,036_7_3,2264,2339,2363,0
samm__37,samm,37,037_3_2,3196,3214,3295,0
